id,title,description,media,measurements,Public_Art_Data_id
1,Fountain of Wisdom,'',Welded bronze,,
2,Moon Gates,'',,,
3,Seattle Scatter Piece,'',"Concrete, terrazzo",,
4,Renouveau,'',Stained glass,,
5,Second Avenue Additions,'',Permanently sited,,
6,Untitled (Kiosk),'',Mixed media; wood; metal,"108x45x22""",
7,Day/Night,'Lutshootseed and English texts painted on panels  installed on either side of a historical bust of Chief Sealth dedicated to the many transient intertribal native people who live on the streets of Seattle.',Porcelain enamel on steel panel,"42"" X 84"" EACH",
8,East is West,'Wall mural of ceramic and glass tile depicting Filipino history.',Ceramic & glass tile,"12'x14'7x3'2.5""",
9,Little Liberty,'Replica of the Statue of Liberty',Copper alloy,"6'10""x3'6""x2'11""",
10,"Babe, The Phoenix Fairy, and The Magic Grove",'The three artworks for the Faye G. Allen Children's Center are based on a series of folk tale themes found in the folklore section of the Central Library.  ',"Wood, steel, pink foam, paper mache fabric, beads, glitter, acrylic",Babe - .01: 4'h x 8'w x 3.5'd; Phoenix Fairy - .02:  5'h x 6.5'w x 4'd; Magic Grove - .03  4'h x 8'w x 10'd,
11,Astronomy by Day (and Other Oxymorons),"'A two channel video Installation projected on the east wall of the atrium, between levels 6-9.   A series of computer-generated 3D objects viewed from a continuous forward tracking shot that moves almost imperceptibly forward. '","Two-channel video projection, four video projectors with customized wall mounts, two channel synch box, two DVD players and two DVD's","Projector bracket/basket 20"" x 15.5"" x 17""; Wall plate 26"" x 10"" x 4""; Extension Arm from wall approx 37""; vertical shaft on north mount 14 1/4""-south 21 1/4""",
12,I-90 Portal,'',Concrete,,
13,Coelacanths,'',Red granite,"12x18""",
14,Naramore Fountain,'',"Bronze, concrete, aggregate","15'x7'3""",
15,Fortson Square  ,"'.01 Arched windows:  6'9"" L x 5'5"" W (tapering to 4"" W and 10"" D.  .02 Column:  4'9"" L x 9 1/2"" dia. (base) x 7 1/2"" dia (top)--capital for Column     2' L x 2' W x2' D  .03Tin Ceiling Detail: 4 'L x 2' 10"" W x 8"" D  .04 Logs:  (2) 3'6"" L x 1' W x 6"" D (wil'","Recycled architectural artifacts, tile, pavers, brick, cast objects, granite sculpture, concrete and plant materials",see description,
16,Pursuit of Knowledge,'',"4'8""x7'7""x6'",,
17,Westlake Star Axis/Seven Hills,'',Granite; concrete,"30'x2'6x18""",
18,Skytones,'A volume lighting work in 5 essentially square niches lit by concealed horizontal lines of florescent lights that are programmed through a dimming panel to create a continual abstract reference to dissolving twilight and changing daylight.',Fluorescent lights with lighting jells in painted white niches,25' X ~120' X ~6',
19,Bronze Imbeds,"'Eight bronze insets inbedded in concrete and located along the West Seattle Cultural Trail.  Images include a bear, canoe, ship, hands and three insets with images of swim pins.  The West Seattle Cultural Trail Phase I art elements (pavers, insets, plaques, medallions and viewing devices) are grouped into a common theme, interweaving nature and culture with the historic and botanical to showcase the memories associated with this place.'",Evedur silicon bronze alloy; 655 fabricated from 250 plate.,"bear: 3x4'; cande: 2'4""x6'7""; ship: 4'6""x6'2""; hands:...",
20,Pavers,"'Eighty-four blue stone pavers in concrete and consisting of sandblasted images and text.  Each paver has a separate image.   The pavers are located along the West Seattle Cultural Trail, which extends from Alki Beach to the Duwamish River.   The West Seattle Cultural Trail Phase I art elements (pavers, insets, plaques, medallions and viewing devices) are grouped into a common theme, interweaving nature and culture with the historic and botanical to showcase the memories associated with this place.'",Blue stone pavers in concrete,"various - 11x17""; 17x17""; 11.5x11.5""",
21,The Fin Project:  From Swords into Plowshares,"'Sculptural Installation of 22 diving plane fins from decommissioned U.S. Navy attack submarines, in an arrangement suggesting an orca pod or a school of salmon.'",High-tensile steel fused to syntactic foam; carboline mb 133 satin black paint; concrete,12' X 300' X 500',
22,Alki / Duwamish Culture Trail,"'Various brass insets and etched granite pavers containing text and images pertaining to area history, with poetry and statements about people who have lived in West Seattle.'",Bronze; stone,,
23,Equality,"'A sited sculptural Installation of granite and bronze within a landscape; the title refers to a quote from ""on the goals of equality"" a chapter form Alexis de Toqueville's “Democracy in America”, published in 1835.  '","Granite, bronze",,
24,Geomantic Artwork,"'Environmental piece composed of 3 boulders located on a field outside the center.  Two of the boulders were found on site and placed in triangular juxtaposition with a bronze replica of one of the boulders, creating pathways between the boulders. '","Bronze, stone",6'x3'x4',
25,Garthgoyles:  Designs for the Charlotte Martin Theatre,"'Red cut-out figures and other designs make up the indoor door frames and balcony railing -  yellow cut-out animal figures make up ""garthgoyles"" along outside of building, and similar designs in blue, green, and white grace the ceramic tile mural outside.'",Enamel on steel; ceramic tile,,
26,Street Treatment,'TOTAL STREET DESIGN WITH PURPLE PLUM  TREES TO MARK BUS STOPS AND SANDSTONE BENCHES TO SERVE AS   REST STOPS; GRATES DESIGNED TO PROTECT TREES' ROOT SYSTEMS;  ROUGH BOULDERS; RECYCLED STONE STEPS; SPLIT-SANDSTONE SLABS',"Concrete, sandstone, trees",,
27,Forms of Power,'7 windows: 1) love; 2-4) physical power (rock-paper-scissors); 5) the law; 6) money; 7) the mind                                                            ',Sign paint on plexiglas,,
28,Common Ground,'Sculptural arrangement with two vertical elements like a split pillar on a raised platform.',"Sandstone, granite",,
29,Marine-Life Paintings,'SEALS; SEA OTTERS; TUFTED PUFFIN AND FIVE OTHER PAINTINGS OF UNDER-WATER MARINE LIFE PAINTED ON SEPARATE SHEETS OF  PLEXIGLAS AND INSET AS DIFFERENT LAYERS INTO WOOD FRAMES CREATING A 3-D ILLUSION.',Acrylic/plexiglas,"60x72x7""  EA",
30,"Adjacent, Against, Upon",'',"Concrete, granite",9'x25'x130',
31,Untitled Cor-Ten Steel Sculpture,'Composed of 10 interlocking blocks of welded cor-ten steel rusted to a rich brown color.',Welded cor-ten steel,19'X14'X10',
32,Moses,'Black abstract sculpture',Painted steel,"136.5"" X 180"" X 88""",
33,Sculptural Screen,'',"Welded cast bronze, enamel on brass, colored glass",,
34,Seattle Totem Pole,'Replica of a Tlingit pole taken from a Tlingit village in Alaska in the early 1900's.',Polycrhomed carved alaskan red cedar,"50'x4'6""DIAM",
35,World Flight Monument,'A monument composed of a granite pylon and with a sculpture of bronze wings topping it.',Granite and bronze,,
36,Untitled Stone Garden Lantern,'Large one-tiered granite taiko-gata lantern.',Carved granite,,
37,Chief Seattle,"'Based on the only known photo of Chief Seattle – the statue is posed looking out toward Puget Sound, his arm raised in greeting.  On a granite base are two bronze bear heads that serve as waterspouts and two bronze plaques depicting historical events of the city.'","Cast, gilded bronze, granite",(LIFE-SIZE),
38,Ballard Boat,"'Highly detailed sculpture resembling a full-scale boat prow emerging from the water, made of a variety of materials and miscellaneous objects.  Located on the sandy playground of the community center, used as a play structure.'",Cast concrete; bronze; yellow cedar; rubber,"92x224x333""",
39,Circulation,"'A vertical installation of colored glass circles fused onto glass panels.  The glass panels are integrated into the book drop at the plaza entry to the branch.  There are two visual layers that make up this work, the first being abstracting “drawing” in the glass that illustrates the general concept of language and the second a visual calligraphic abstraction of language. Conceptually, the piece refers to the collection, digestion and dissemination of knowledge that occurs daily at the library.'","Kiln formed and sandblasted, laminated glass","13'h x 9'w x 3/4""d",
40,Water Works,"'The Source element is approximately 35 feet in diameter, and 12’ high; water flows out of the top over granite cobbles.  The center of the cone is offset, so that the north side is sloped more gently and the water flowing down the surface will be softer so'","Water, granite, metal","Source cone:  36"" x 12'h; 10 flow diverters:  each 5""h x 4-7""w x 6-11""d",
41,Imbrication,"'The artwork includes 17 acid-stained, precast concrete sculptures in the shape of waveforms and a custom hatch cover.  The overall design features three complex waveforms at the center of the park, echoed by single waves propagating down the stairs. '","Concrete, stainless steel","Sculptures:  60""h x 17'w x approx. 32""d.  Hatchcover:  25 1/2"" diam.",
42,Making Visible the Invisible,"'An electronic Installation consisting of animated visualizations on six plasma screens located on a glass wall horizontally behind the librarians' main information desk in the Mixing Chamber, an open public space dedicated to online computer research.  '","Digital data on server, 3 computers, 6 LCD screens",N.A.,
43,Making Visible the Invisible,"'An electronic Installation consisting of animated visualizations on six plasma screens located on a glass wall horizontally behind the librarians' main information desk in the Mixing Chamber, an open public space dedicated to online computer research.  '","Digital data on server, 3 computers, 6 LCD screens",N.A.,
44,Periscope Tree,"'Sculpture is in the form of a ""hydra-headed""  tree that includes a periscope that allows for a 360 degree view.'","Galvanized sheet steel, pattern cut and welded",16'h x 8'w,
45,Five Neons,"'Five window hung neon pieces of artwork that express the unique activities of the Wallingford Library.  The neon artworks consist of five symbols, each representing a different aspect of the Library.  The five symbols are the glove, a jigsaw puzzle piece,'",Neon (window mounted),"Five pieces, each 19"" x 19""",
46,Wit and Wisdom,'Two cast concrete gateway pieces and two painted steel pillars.    The pillars are embellished with various images and two representative proverbs.  24 Bronze plaques inscribed with proverbs are installed around the concrete base of the pillars.',"Concrete, painted steel, bronze plaques, painted aluminum and ceramic tiles","168"" x 32"" x 15""",
47,Fountain of Seseragi,"'Recurrent forms in Tsutakawa's work include series of steps and repetitions of curves, which often combine to create a dynamic tension before allowing the essential balance to come through and transform the experience into one of deep serenity.  '","Bronze, Silicon and Copper Tubing","63"" x 144"" x 24""",
48,Cornerstones,"'32 cast glass and stone sidewalk insets each depicting a different micro-organism, such as protozoa, rotifers, algae, diatoms and crustaceans found on Lake Union or on its shores. '","Sandblasted sandstone, cast glass","24"" X 24""",
49,Dreamboats,"'Three kiosks entitled Respect, Read and Rest.  Upside down kayaks resting on metal columns, meant for notices to be posted. Coming out from under the kayak are approximately 7-8 oars.'","Fiberglass, fabricated steel, mosaic, slate, stained concrete","11' X 17' 6"" X 1' 6""",
50,Untitled Star Map Floor Inlay,"'A constellation map etched in granite installed under the conical skylight at the entrance to the lobby.  A sun marker, four planet markers and the asteroid belt marker inlaid in the lobby area.  Four other planet markers inlaid outdoors along the front walk.'","Granite, stainless steel, epoxy, pvc piping, aluminum, wood","STAR MAP 48"" DIAM.; MARKERS 4"" DIAM.",
51,Water Borne,'Wall-mounted cast aluminum high relief sculpture on stained fiberboard.',Cast aluminum; medium density fiberboard; stain,"12""H x 60""W",
52,Swimming Fish,"'The artist worked with children at the Bitter Lake Community Center to create 39 mobiles using fish forms cut from tin cans, and seaweed made from film negatives strung on wire; the fish are painted with felt tip marking pens and finger-nail polish. '",Tin cans; film negatives; coated wire,"39 PIECES RANGING FROM 36x72"" to 6x12""",
53,Aureole,"'A cast aluminum frieze of a repeating leaf motif along the entrance canopy, illuminated with neon.'",Aluminum; bronze mesh; neon,"24x264x2""",
54,Weather Prophet,'Aluminum cut-out weathervane topped by stylized gilded heron.',"Powder-coated aluminum, gold leaf","108x60x8.5""",
55,Fleet,"'25 hollow cast abstract forms, suspended from the ceiling with stainless steel cables, alluding to a school of fish.'","Gypsum cement, copper powder, paint","25@ 10x7x26""",
56,Fish Children,'The artist created two oversized fish forms:  the heads and tails are made from painted plywood and the bodies of juice can lids strung together with green plastic coated wire.  Integrated into the fish heads are images of children's faces.',"Painted plywood, aluminum, plastic-coated cable",a: 12x3'  b: 8x3',
57,Schema,"'A wall-mounted cast aluminum high relief sculpture on painted wood, ""Schema"" was created with the assistance of young people at the community center.'",Cast aluminum; ranger board; paint,"46x84x2""",
58,Homecoming,'The sculpture depicts a coho salmon fighting its way upstream to its egg-laying waters. ',Bronze & stone,"11""X30""X 11""",
59,Clock Tower,'Relief arch on red wall with yellow painted inset diamonds; relief surrounds a clock at the top of arch way.',Cast aluminum; paint,"8'6""x6'6""",
60,Earth Story,'Engraved river-wash rocks with natural finish embedded into concrete with stainless steel pins and construction epoxy.',"Engraved river stones, boulder","12 STONES: 8"" TO 24"" DIAM",
61,Migrare,"'12 cast glass bird heads all indigenous species to the Pacific NW, hand-painted in vibrant colors.  Exterior:  Puffin, King Fisher, Trumpeter Swan, Stellar Jay, and Bullocks Oriole.  Interior:  Stellar Jay.'",Sandcast glass; acrylic,"19x19x3"" each bird",
62,Play Ray Plaza,"'Radiating diamond pattern of red, gold and black integrally-colored concrete with inset stainless steel screed marking meridians.'",Colored concrete; 1/2 stainless steel screed,"APPROX 40,000 SQ FT",
63,Circus Ring Plaza,"'Two 20-foot sculptural wall sconces in the form of acrobats, light a colored concrete circus-ring design in front of the south entrance to the Seattle Center House.'",Aluminum; colored concrete,2@ 20'H,
64,Children's Screen,"'bottle caps, tin cans, and Photographs of faces of children in the Delridge community.'","Mixed media.  Plexiglas, Photographs, recycled materials",,
65,Shango Throne,"'Painted male figure in wall niche decorated with all sorts of recycled material on an orange background, flanked by painted wood tiles. Decorated by community children.'",Wood; enamel; recycled materials; metal; paint,10'x5',
66,Oshun Throne,'Painted female figure on wall niche decorated with all sorts of recycled metal with a yellow background and flanked with painted wood.  Decorated by community children.',Wood; enamel; recycled materials; metal; paint,10'x5',
67,Seven Figures,"'Cast glass tiles, silicon mortar, inner aluminum frames to hold glass with outer frame made of aluminum; depicts 7 life-size human figures swimming through the water.'",Cast glass,"57x31x.5""",
68,"Heaven, Man, Earth",'Vertical abstract sculpture with a black patina is mounted on a cylinder of concrete and lighted',Bronze,14x4x4',
69,Soul Pole,'Carved pole in the style of Native American totems depicting the history of the black man.',Wood,H:21',
70,JUMs,"'JUMs combines three elements (jellyfish/umbrellas/mushrooms)  that relate to the Northwest environment.  Each ten-foot high sculpture consists of a stainless steel ""stem"" and upper ""cap"" that has been cast in fiberglass.'","Stainless steel, fiberglass","132""h x 66""w x 66""d",
71,Spur Line,"'The artwork consists of benches, sidewalk inserts, pedestrian handrail dispersed along the pathway.  View decks have been built in a number of stations.'","Galvanized steel, salvaged douglas fir, stainless steel, bronze and concrete","variable, in approximately 10 locations along 1.6 miles of West Lake Union",
72,.01 - Beacon Hill Discovery; .02 - Ravens Bill Downspouts,"'.01 = A kinetic metal sculpture in the form of a boat.  The sculpture rises above the Library like a large weathervane pointing in the breeze.  The highly engineered sculpture captures wind patterns and slowly changes form as it opens and closes with the wind.  The upper extensions have the capability of folding down in high winds.  The sculpture symbolizes the spirit of adventure the artist feels when entering a library.  The intention is that the sculpture be interpreted as a metaphor for each individual's personal journey.  The library, like a port at the edge of a great ocean, can be viewed as a point of departure from which each traveler may freely set sail. .02 - Two artist designed and created rain scuppers on the west side of the Library building.  Construction of upper half (as well as hull of boat sculpture) were inspired by the design of the Library's roof structure.'",".01 = Aluminum, stainless steel, steel; .02 = Copper, stainless steel",".01 = 11'-8""h x 13'-7""w x 17'd'; .02 = 1' - 3""h x 1' - 6""w x 2' - 8""d",
73,Wellspring,"'Wellspring is a collection of teacups donated by the community, each cup an individual well of nourishment, and jointly, a gathering of goodwill and vitality.  '","Teacups, MDF, epoxy, paint, plywood, sandblasted glass, cast urethane, LED lighting.","Various - 60"" x 94"" x 5"", 9"" x 9 7/8"" x 4"", 20 3/8"" x 65 15/16"" x 1/4""",
74,Whirl Piece:  Current Events,"'The artwork is a gazebo-like sculpture that includes  stainless steel tubing framework, dome, wind catch and shaft and aluminum tubular bells.  '","Stainless steel, aluminum tubular bells",18' x 10' x 10',
75,illumine,"'A series of glass dichroic discs, 24"" in diameter, are suspended from the ceiling to create illumine, an ever-changing artwork in the glass lantern tower on the northwest corner of City Hall.  Viewed from all four sides, above and below, the discs create a transparent abstraction of shifting color and light.'","Dichroic coated glass, stainless steel cable and hardware, metal halide lights","20'8"" h x 11'w x 8'10""d",
76,An Equal And Opposite Reaction,"'The artwork is a mixed media sculpture.  The title of the artwork is a phrase borrowed from Newton's Third Law of Motion.  Movement through the lobby determines the form of the sculpture in several ways.  As the viewer enters the lobby, the vortex structure of the sculpture is designed to sweep the viewer's sight line up into the space above. Entering from the direction of the café, the spinning vortex acts as an eddie, if you will, in the flow of light and space that curves down the hall.  From the different views offered by the balconies and the stairs of the lobby, a multitude of vantage points are revealed as the sculpture is viewed in the round, and the climbing and tumbling structures within the sculpture play on the movement of the two stairways that flank the piece's location.'","Mixed:  3/8"" x 1/4"" aluminum; plastic levels; artificial plants; steel tape measures; plastic cable ties/water bottles/cups/push pins/electrical parts/lamp/thermometer faces; aluminum welding wire/desk lamps; fiberglass ladders; 1"" steel elec. conduit","20' wide at widest, 50"" wide at least wide; 30' from upper ring to lowest element; 35' from ceiling to lowest element",
77,Water Weaving Light Cycle,"'A light and sound sculpture, made of optical fiber and woven in Kyoto by traditional kimono weavers, emulates cascading water and the rhythms of waves breaking on the shores of nearby Puget Sound.  The lights and sounds, controlled by computer, link to the Web site of NOAA.  The sounds from ceiling speakers are specifically-made field recordings of waves and other environmental sounds at Golden Garden Park, Lincoln Park, and Carkeek Park.  The pulsations of shifting hues of blue light, cascading up and down the length of the fiber tapestry, are synchronized through real-time acoustic analysis with the ebb and flow of waves.  Sound/light dynamics reflect both the actual weather changes outside and, figuratively, the flow of commmunications inside City Hall.'","Woven optical fiber, stainless steel cable wire, illuminators, sound","5'5""w x 46' long",
78,.01 - Weather Permitting   .02 - Flow,"'Both artworks use data generated by scientific devices mounted on the building's roof, including nine anemometers that measure wind speed and direction, a pyranometer that measures sunlight and tracks clouds, and a hydrophone, an underwater microphone that picks up the sound of rain in a vessel on the roof.  The data are read and interpreted by a computer program which responds to climactic changes by triggering both visual and auditory artworks inside the building.  .0: ""Weather Permitting""  The computer interprets wind speed and direction data from the anemometers.  Using that data, the computer creates an image of the motion of air on the roof, patterns which are reflected in LED displays in the library. .02:  ""Flow"" - Weather data along with sounds collected live from the building's microclimate generate responses in a six-channel audio artwork in the neighborhood service center.'","LED displays, weather devices such as anemometers and pyranometer and hydrophone, recorded and live sound, sensors",Various,
79,"Collections  Objects, Experiences, Memories",'The artwork is a series of clear glass panels installed into a metal grillwork at the Library and Neighborhood Service Center entrances.  Each glass piece is from one of 21 original images that was first carved in clay.  ',Glass - Bull's-eye Tekta 6mm fused into plaster molds cast from original clay carvings,"70 pieces:  37 pieces at 15""h x 15""w, 20 pieces at 23"" & 15""w, 13 pieces at 31""h x 15""w.  All pieces are 1""d.  Series of clear glass panels.",
80,Longfellow Creek Legacy Trail Way Finding Signs,"'A series of five way finding images in sign form are designed to create visual markers, leading path/creek walkers in and out of the natural creek bed along the entire length of the Longfellow Creek Trail.   The images are ""Lupine"", ""Fern Hook"", ""Elderberry"", ""Horsetail"" and ""Leaves on Water.""  Each image is a black and white photo image of creek flora, photographed by the artist at Longfellow Creek, with vivid color backgrounds and baked on enamel steel signs.  Each piece has a solid color background, a neutral gray and a tinted black (1 color, 2 half tones.)  There are five different designs on 40 signs for a total of 80 sign faces.  The powder coated black posts are topped with cast steel ornaments, which were salvaged from a play field fence in the neighborhood.'","Steel plate, porcelain enamel","80 signs:  each 27""h x 17""w x 3/32""d",
81,Gravity Law,'Three glass sculptures that hang loosely above crossbeams suspended below the ceiling in the middle skylight area.  The artwork is made of glass rods and range in color from clear to very light brown/amber.  The glass appears to rest over the beams. ',Glass,"3 pieces ranging 9-10 feet total length, varying widths up to 16""",
82,Memories,"'A photo collage of prints consisting of Photographs, letters and documents related to the local community and its history.  The images have been printed onto a transparent fabric panel using photo transfer methods.  '",Photo transfer/print,"23""h x 59""w x 4""d",
83,Highpoint,'Sculpture which includes a camera mounted to a 40 foot pole that extends through the roof of the building.  At the base of the pole is a table and chair motif.  Mounted on the table is an art object in the shape of a coffee mug.  ',"Steel, electronic components, camera, monitor","480""height x 200""width x 240""depth",
84,Sky Legends,"'Glazed architectural terra cotta sculptures and tiles in exterior niches of the High Point Branch Library.  Five legends from around the world relating to the sun, the stars, and the moon became the inspiration for this series of sculptures and tiles.'",Glazed architectural terra cotta,"10' x 10' (west wall), 48"" x 18"" x 2"" (story panels), 72' x 3"" x 1/2"" (terra cotta banding)",
85,Story Viewers,"'The artwork consists of 5 story viewers.   A salmon story, told to the artist by Native American elders, is depicted with story viewers that provide views of the river through the eyes of the salmon in the story.'","Fabricated and welded steel coated with urethane paint, stainless steel etched story panels, bronze and cast iron appliques","Approximately 65""h x 34""w x 5""d",
86,Garden of Color and Light,"'55 styles of opalescent, irid, dichroic and transparent glass on aluminum as fencing treatment.'",Handmade glass mosaic on aluminum,"30 @ 130"" x 8"" x 5.5""",
87,Geo-Slice,"'The artwork is a column cast in iron of a geo-slice ""peel"" and explores the geological history of the site.  A team of scientists used a specially designed machine to probe the soil 12 feet down, bringing up a record of what lies below the ground.  A large bluestone paver explains the geology of the area as depicted in the cast iron column.'","Cast iron, steel, aluminum, etched bluestone, concrete",12'h x 6'w x 5'd,
88,A Place Called Home,"'Lightjet C print portraits in s-curve frames mounted on top of book shelves.  On each page there is a portrait of a Columbia City resident.  On the adjacent page, there will be one word in English combined with its translation into another language.'",Laser lightjet photos and plexiglass,"42 images, 22 frames various 22"" x 34"" x .5"" to 18"" x 28"" x .5""",
