Game,Away,Home,Week,Day,GameDate,Time,Stadium,Address,Capacity
1,Steelers,Patriots,1,Thursday,9/10/2015,8:30 PM ET ,Gillette Stadium,"1 Patriot Pl, Foxborough, MA 02035","68,756"
2,Packers,Bears,1,Sunday,9/13/2015,1:00 PM ET ,Soldier Field,"1410 Museum Campus Dr, Chicago, IL 60605","61,500"
3,Chiefs,Texans,1,Sunday,9/13/2015,1:00 PM ET ,NRG Stadium,"Reliant Pkwy, Houston, TX 77054","71,500"
4,Browns,Jets,1,Sunday,9/13/2015,1:00 PM ET ,MetLife Stadium,"1 MetLife Stadium Dr, East Rutherford, NJ 07073","82,566"
5,Colts,Bills,1,Sunday,9/13/2015,1:00 PM ET ,Ralph Wilson Stadium,"1 Bills Dr, Orchard Park, NY 14127","71,870"
6,Dolphins,Redskins,1,Sunday,9/13/2015,1:00 PM ET ,FedExField,"1600 Fedex Way, Greater Landover, MD 20785","79,000"
7,Panthers,Jaguars,1,Sunday,9/13/2015,1:00 PM ET ,"EverBank Field
","1 Everbank Field Dr, Jacksonville, FL 32202
","67,164"
8,Seahawks,Rams,1,Sunday,9/13/2015,1:00 PM ET ,The Dome at America's Center,"701 Convention Plaza 
St. Louis, Missouri, United States 63101","66,000"
9,Saints,Cardinals,1,Sunday,9/13/2015,4:05 PM ET ,University of Phoenix Stadium,"1 Cardinals Dr, Glendale, AZ 85305","63,400"
10,Lions,Chargers,1,Sunday,9/13/2015,4:05 PM ET ,Qualcomm Stadium,"9449 Friars Rd, San Diego, CA 92108","70,561"
11,Titans,Buccaneers,1,Sunday,9/13/2015,4:25 PM ET ,Raymond James Stadium,"4201 N Dale Mabry Hwy, Tampa, FL 33607","65,890"
12,Bengals,Raiders,1,Sunday,9/13/2015,4:25 PM ET ,O.co Coliseum,"7000 Coliseum Way, Oakland, CA 94621","63,132"
13,Ravens,Broncos,1,Sunday,9/13/2015,4:25 PM ET ,Sports Authority Field at Mile High,"1701 Bryant St, Denver, CO 80204","76,125"
14,Giants,Cowboys,1,Sunday,9/13/2015,8:30 PM ET ,AT&T Stadium,"1 AT&T Way, Arlington, TX 76011","80,000"
15,Eagles,Falcons,1,Monday,9/14/2015,7:10 PM ET ,Georgia Dome,"1 Georgia Dome Dr, Atlanta, GA 30313","71,228"
16,Vikings,49ers,1,Monday,9/14/2015,10:20 PM ET ,Levi's Stadium,"4900 Marie P DeBartolo Way, Santa Clara, CA 95054","68,500"
17,Broncos,Chiefs,2,Thursday,9/17/2015,8:25 PM ET ,Arrowhead Stadium,"1 Arrowhead Dr, Kansas City, MO 64129","76,416"
18,Texans,Panthers,2,Sunday,9/20/2015,1:00 PM ET ,Bank of America Stadium,"800 S Mint St, Charlotte, NC 28202","75,412"
19,49ers,Steelers,2,Sunday,9/20/2015,1:00 PM ET ,Heinz Field,"100 Art Rooney Ave, Pittsburgh, PA 15212","65,050"
20,Buccaneers,Saints,2,Sunday,9/20/2015,1:00 PM ET ,Mercedes-Benz Superdome,"1500 Sugar Bowl Dr, New Orleans, LA 70112","76,468"
21,Lions,Vikings,2,Sunday,9/20/2015,1:00 PM ET ,TCF Bank Stadium,"420 SE 23rd Avenue 
Minneapolis, Minnesota 55455","52,525"
22,Cardinals,Bears,2,Sunday,9/20/2015,1:00 PM ET ,Soldier Field,"1410 Museum Campus Dr, Chicago, IL 60605","61,500"
23,Patriots,Bills,2,Sunday,9/20/2015,1:00 PM ET ,Ralph Wilson Stadium,"1 Bills Dr, Orchard Park, NY 14127","71,870"
24,Chargers,Bengals,2,Sunday,9/20/2015,1:00 PM ET ,Paul Brown Stadium,"1 Paul Brown Stadium, Cincinnati, OH 45202","65,535"
25,Titans,Browns,2,Sunday,9/20/2015,1:00 PM ET ,FirstEnergy Stadium,"100 Alfred Lerner Way, Cleveland, OH 44114","73,200"
26,Falcons,Giants,2,Sunday,9/20/2015,1:00 PM ET ,MetLife Stadium,"1 MetLife Stadium Dr, East Rutherford, NJ 07073","82,566"
27,Rams,Redskins,2,Sunday,9/20/2015,1:00 PM ET ,FedExField,"1600 Fedex Way, Greater Landover, MD 20785","79,000"
28,Dolphins,Jaguars,2,Sunday,9/20/2015,4:05 PM ET ,"EverBank Field
","1 Everbank Field Dr, Jacksonville, FL 32202
","67,164"
29,Ravens,Raiders,2,Sunday,9/20/2015,4:05 PM ET ,O.co Coliseum,"7000 Coliseum Way, Oakland, CA 94621","63,132"
30,Cowboys,Eagles,2,Sunday,9/20/2015,4:25 PM ET ,Lincoln Financial Field,"1 Lincoln Financial Field Way, Philadelphia, PA 19147","69,176"
31,Seahawks,Packers,2,Sunday,9/20/2015,8:30 PM ET ,Lambeau Field,"1265 Lombardi Ave, Green Bay, WI 54304","80,735"
32,Jets,Colts,2,Monday,9/21/2015,8:30 PM ET ,Lucas Oil Stadium,"500 S Capitol Ave, Indianapolis, IN 46225","70,000"
33,Redskins,Giants,3,Thursday,9/24/2015,8:25 PM ET ,MetLife Stadium,"1 MetLife Stadium Dr, East Rutherford, NJ 07073","82,566"
34,Falcons,Cowboys,3,Sunday,9/27/2015,1:00 PM ET ,AT&T Stadium,"1 AT&T Way, Arlington, TX 76011","80,000"
35,Colts,Titans,3,Sunday,9/27/2015,1:00 PM ET ,Nissan Stadium,"1 Titans Way, Nashville, TN 37213","69,143"
36,Raiders,Browns,3,Sunday,9/27/2015,1:00 PM ET ,FirstEnergy Stadium,"100 Alfred Lerner Way, Cleveland, OH 44114","73,200"
37,Bengals,Ravens,3,Sunday,9/27/2015,1:00 PM ET ,M&T Bank Stadium,"1101 Russell St, Baltimore, MD 21230","71,008"
38,Jaguars,Patriots,3,Sunday,9/27/2015,1:00 PM ET ,Gillette Stadium,"1 Patriot Pl, Foxborough, MA 02035","68,756"
39,Saints,Panthers,3,Sunday,9/27/2015,1:00 PM ET ,Bank of America Stadium,"800 S Mint St, Charlotte, NC 28202","75,412"
40,Eagles,Jets,3,Sunday,9/27/2015,1:00 PM ET ,MetLife Stadium,"1 MetLife Stadium Dr, East Rutherford, NJ 07073","82,566"
41,Buccaneers,Texans,3,Sunday,9/27/2015,1:00 PM ET ,NRG Stadium,"Reliant Pkwy, Houston, TX 77054","71,500"
42,Chargers,Vikings,3,Sunday,9/27/2015,1:00 PM ET ,TCF Bank Stadium,"420 SE 23rd Avenue 
Minneapolis, Minnesota 55455","52,525"
43,Steelers,Rams,3,Sunday,9/27/2015,1:00 PM ET ,The Dome at America's Center,"701 Convention Plaza 
St. Louis, Missouri, United States 63101","66,000"
44,49ers,Cardinals,3,Sunday,9/27/2015,4:05 PM ET ,University of Phoenix Stadium,"1 Cardinals Dr, Glendale, AZ 85305","63,400"
45,Bills,Dolphins,3,Sunday,9/27/2015,4:25 PM ET ,Sun Life Stadium,"347 Don Shula Dr, Miami Gardens, FL 33056","76,100"
46,Bears,Seahawks,3,Sunday,9/27/2015,4:25 PM ET ,CenturyLink Field,"800 Occidental Ave S, Seattle, WA 98134","67,000"
47,Broncos,Lions,3,Sunday,9/27/2015,8:30 PM ET ,Ford Field,"2000 Brush St, Detroit, MI 48226","65,000"
48,Chiefs,Packers,3,Monday,9/28/2015,8:30 PM ET ,Lambeau Field,"1265 Lombardi Ave, Green Bay, WI 54304","80,735"
49,Ravens,Steelers,4,Thursday,10/1/2015,8:25 PM ET ,Heinz Field,"100 Art Rooney Ave, Pittsburgh, PA 15212","65,050"
50,Jets,Dolphins,4,Sunday,10/4/2015,9:30 AM ET ,Wembley Stadium,"Wembley, London HA9 0WS, United Kingdom","86,000"
51,Jaguars,Colts,4,Sunday,10/4/2015,1:00 PM ET ,Lucas Oil Stadium,"500 S Capitol Ave, Indianapolis, IN 46225","70,000"
52,Giants,Bills,4,Sunday,10/4/2015,1:00 PM ET ,Ralph Wilson Stadium,"1 Bills Dr, Orchard Park, NY 14127","71,870"
53,Panthers,Buccaneers,4,Sunday,10/4/2015,1:00 PM ET ,Raymond James Stadium,"4201 N Dale Mabry Hwy, Tampa, FL 33607","65,890"
54,Eagles,Redskins,4,Sunday,10/4/2015,1:00 PM ET ,FedExField,"1600 Fedex Way, Greater Landover, MD 20785","79,000"
55,Raiders,Bears,4,Sunday,10/4/2015,1:00 PM ET ,Soldier Field,"1410 Museum Campus Dr, Chicago, IL 60605","61,500"
56,Texans,Falcons,4,Sunday,10/4/2015,1:00 PM ET ,Georgia Dome,"1 Georgia Dome Dr, Atlanta, GA 30313","71,228"
57,Chiefs,Bengals,4,Sunday,10/4/2015,1:00 PM ET ,Paul Brown Stadium,"1 Paul Brown Stadium, Cincinnati, OH 45202","65,535"
58,Browns,Chargers,4,Sunday,10/4/2015,4:05 PM ET ,Qualcomm Stadium,"9449 Friars Rd, San Diego, CA 92108","70,561"
59,Packers,49ers,4,Sunday,10/4/2015,4:25 PM ET ,Levi's Stadium,"4900 Marie P DeBartolo Way, Santa Clara, CA 95054","68,500"
60,Rams,Cardinals,4,Sunday,10/4/2015,4:25 PM ET ,University of Phoenix Stadium,"1 Cardinals Dr, Glendale, AZ 85305","63,400"
61,Vikings,Broncos,4,Sunday,10/4/2015,4:25 PM ET ,Sports Authority Field at Mile High,"1701 Bryant St, Denver, CO 80204","76,125"
62,Cowboys,Saints,4,Sunday,10/4/2015,8:30 PM ET ,Mercedes-Benz Superdome,"1500 Sugar Bowl Dr, New Orleans, LA 70112","76,468"
63,Lions,Seahawks,4,Monday,10/5/2015,8:30 PM ET ,CenturyLink Field,"800 Occidental Ave S, Seattle, WA 98134","67,000"
64,Colts,Texans,5,Thursday,10/8/2015,8:25 PM ET ,NRG Stadium,"Reliant Pkwy, Houston, TX 77054","71,500"
65,Bears,Chiefs,5,Sunday,10/11/2015,1:00 PM ET ,Arrowhead Stadium,"1 Arrowhead Dr, Kansas City, MO 64129","76,416"
66,Seahawks,Bengals,5,Sunday,10/11/2015,1:00 PM ET ,Paul Brown Stadium,"1 Paul Brown Stadium, Cincinnati, OH 45202","65,535"
67,Redskins,Falcons,5,Sunday,10/11/2015,1:00 PM ET ,Georgia Dome,"1 Georgia Dome Dr, Atlanta, GA 30313","71,228"
68,Jaguars,Buccaneers,5,Sunday,10/11/2015,1:00 PM ET ,Raymond James Stadium,"4201 N Dale Mabry Hwy, Tampa, FL 33607","65,890"
69,Saints,Eagles,5,Sunday,10/11/2015,1:00 PM ET ,Lincoln Financial Field,"1 Lincoln Financial Field Way, Philadelphia, PA 19147","69,176"
70,Browns,Ravens,5,Sunday,10/11/2015,1:00 PM ET ,M&T Bank Stadium,"1101 Russell St, Baltimore, MD 21230","71,008"
71,Rams,Packers,5,Sunday,10/11/2015,1:00 PM ET ,Lambeau Field,"1265 Lombardi Ave, Green Bay, WI 54304","80,735"
72,Bills,Titans,5,Sunday,10/11/2015,1:00 PM ET ,Nissan Stadium,"1 Titans Way, Nashville, TN 37213","69,143"
73,Cardinals,Lions,5,Sunday,10/11/2015,4:05 PM ET ,Ford Field,"2000 Brush St, Detroit, MI 48226","65,000"
74,Patriots,Cowboys,5,Sunday,10/11/2015,4:25 PM ET ,AT&T Stadium,"1 AT&T Way, Arlington, TX 76011","80,000"
75,Broncos,Raiders,5,Sunday,10/11/2015,4:25 PM ET ,O.co Coliseum,"7000 Coliseum Way, Oakland, CA 94621","63,132"
76,49ers,Giants,5,Sunday,10/11/2015,8:30 PM ET ,MetLife Stadium,"1 MetLife Stadium Dr, East Rutherford, NJ 07073","82,566"
77,Steelers,Chargers,5,Monday,10/12/2015,8:30 PM ET ,Qualcomm Stadium,"9449 Friars Rd, San Diego, CA 92108","70,561"
78,Falcons,Saints,6,Thursday,10/15/2015,8:25 PM ET ,Mercedes-Benz Superdome,"1500 Sugar Bowl Dr, New Orleans, LA 70112","76,468"
79,Redskins,Jets,6,Sunday,10/18/2015,1:00 PM ET ,MetLife Stadium,"1 MetLife Stadium Dr, East Rutherford, NJ 07073","82,566"
80,Cardinals,Steelers,6,Sunday,10/18/2015,1:00 PM ET ,Heinz Field,"100 Art Rooney Ave, Pittsburgh, PA 15212","65,050"
81,Chiefs,Vikings,6,Sunday,10/18/2015,1:00 PM ET ,TCF Bank Stadium,"420 SE 23rd Avenue 
Minneapolis, Minnesota 55455","52,525"
82,Bengals,Bills,6,Sunday,10/18/2015,1:00 PM ET ,Ralph Wilson Stadium,"1 Bills Dr, Orchard Park, NY 14127","71,870"
83,Bears,Lions,6,Sunday,10/18/2015,1:00 PM ET ,Ford Field,"2000 Brush St, Detroit, MI 48226","65,000"
84,Broncos,Browns,6,Sunday,10/18/2015,1:00 PM ET ,FirstEnergy Stadium,"100 Alfred Lerner Way, Cleveland, OH 44114","73,200"
85,Texans,Jaguars,6,Sunday,10/18/2015,1:00 PM ET ,"EverBank Field
","1 Everbank Field Dr, Jacksonville, FL 32202
","67,164"
86,Dolphins,Titans,6,Sunday,10/18/2015,1:00 PM ET ,Nissan Stadium,"1 Titans Way, Nashville, TN 37213","69,143"
87,Panthers,Seahawks,6,Sunday,10/18/2015,4:05 PM ET ,CenturyLink Field,"800 Occidental Ave S, Seattle, WA 98134","67,000"
88,Chargers,Packers,6,Sunday,10/18/2015,4:25 PM ET ,Lambeau Field,"1265 Lombardi Ave, Green Bay, WI 54304","80,735"
89,Ravens,49ers,6,Sunday,10/18/2015,4:25 PM ET ,Levi's Stadium,"4900 Marie P DeBartolo Way, Santa Clara, CA 95054","68,500"
90,Patriots,Colts,6,Sunday,10/18/2015,8:30 PM ET ,Lucas Oil Stadium,"500 S Capitol Ave, Indianapolis, IN 46225","70,000"
91,Giants,Eagles,6,Monday,10/19/2015,8:30 PM ET ,Lincoln Financial Field,"1 Lincoln Financial Field Way, Philadelphia, PA 19147","69,176"
92,Seahawks,49ers,7,Thursday,10/22/2015,8:25 PM ET ,Levi's Stadium,"4900 Marie P DeBartolo Way, Santa Clara, CA 95054","68,500"
93,Bills,Jaguars,7,Sunday,10/25/2015,9:30 AM ET ,Wembley Stadium,"Wembley, London HA9 0WS, United Kingdom","86,000"
94,Buccaneers,Redskins,7,Sunday,10/25/2015,1:00 PM ET ,FedExField,"1600 Fedex Way, Greater Landover, MD 20785","79,000"
95,Falcons,Titans,7,Sunday,10/25/2015,1:00 PM ET ,Nissan Stadium,"1 Titans Way, Nashville, TN 37213","69,143"
96,Saints,Colts,7,Sunday,10/25/2015,1:00 PM ET ,Lucas Oil Stadium,"500 S Capitol Ave, Indianapolis, IN 46225","70,000"
97,Vikings,Lions,7,Sunday,10/25/2015,1:00 PM ET ,Ford Field,"2000 Brush St, Detroit, MI 48226","65,000"
98,Steelers,Chiefs,7,Sunday,10/25/2015,1:00 PM ET ,Arrowhead Stadium,"1 Arrowhead Dr, Kansas City, MO 64129","76,416"
99,Browns,Rams,7,Sunday,10/25/2015,1:00 PM ET ,The Dome at America's Center,"701 Convention Plaza 
St. Louis, Missouri, United States 63101","66,000"
100,Texans,Dolphins,7,Sunday,10/25/2015,1:00 PM ET ,Sun Life Stadium,"347 Don Shula Dr, Miami Gardens, FL 33056","76,100"
101,Jets,Patriots,7,Sunday,10/25/2015,1:00 PM ET ,Gillette Stadium,"1 Patriot Pl, Foxborough, MA 02035","68,756"
102,Raiders,Chargers,7,Sunday,10/25/2015,4:05 PM ET ,Qualcomm Stadium,"9449 Friars Rd, San Diego, CA 92108","70,561"
103,Cowboys,Giants,7,Sunday,10/25/2015,4:25 PM ET ,MetLife Stadium,"1 MetLife Stadium Dr, East Rutherford, NJ 07073","82,566"
104,Eagles,Panthers,7,Sunday,10/25/2015,8:30 PM ET ,Bank of America Stadium,"800 S Mint St, Charlotte, NC 28202","75,412"
105,Ravens,Cardinals,7,Monday,10/26/2015,8:30 PM ET ,University of Phoenix Stadium,"1 Cardinals Dr, Glendale, AZ 85305","63,400"
106,Dolphins,Patriots,8,Thursday,10/29/2015,8:25 PM ET ,Gillette Stadium,"1 Patriot Pl, Foxborough, MA 02035","68,756"
107,Lions,Chiefs,8,Sunday,11/1/2015,9:30 AM ET ,Wembley Stadium,"Wembley, London HA9 0WS, United Kingdom","86,000"
108,Buccaneers,Falcons,8,Sunday,11/1/2015,1:00 PM ET ,Georgia Dome,"1 Georgia Dome Dr, Atlanta, GA 30313","71,228"
109,Cardinals,Browns,8,Sunday,11/1/2015,1:00 PM ET ,FirstEnergy Stadium,"100 Alfred Lerner Way, Cleveland, OH 44114","73,200"
110,49ers,Rams,8,Sunday,11/1/2015,1:00 PM ET ,The Dome at America's Center,"701 Convention Plaza 
St. Louis, Missouri, United States 63101","66,000"
111,Giants,Saints,8,Sunday,11/1/2015,1:00 PM ET ,Mercedes-Benz Superdome,"1500 Sugar Bowl Dr, New Orleans, LA 70112","76,468"
112,Vikings,Bears,8,Sunday,11/1/2015,1:00 PM ET ,Soldier Field,"1410 Museum Campus Dr, Chicago, IL 60605","61,500"
113,Chargers,Ravens,8,Sunday,11/1/2015,1:00 PM ET ,M&T Bank Stadium,"1101 Russell St, Baltimore, MD 21230","71,008"
114,Bengals,Steelers,8,Sunday,11/1/2015,1:00 PM ET ,Heinz Field,"100 Art Rooney Ave, Pittsburgh, PA 15212","65,050"
115,Titans,Texans,8,Sunday,11/1/2015,1:00 PM ET ,NRG Stadium,"Reliant Pkwy, Houston, TX 77054","71,500"
116,Jets,Raiders,8,Sunday,11/1/2015,4:05 PM ET ,O.co Coliseum,"7000 Coliseum Way, Oakland, CA 94621","63,132"
117,Seahawks,Cowboys,8,Sunday,11/1/2015,4:25 PM ET ,AT&T Stadium,"1 AT&T Way, Arlington, TX 76011","80,000"
118,Packers,Broncos,8,Sunday,11/1/2015,8:30 PM ET ,Sports Authority Field at Mile High,"1701 Bryant St, Denver, CO 80204","76,125"
119,Colts,Panthers,8,Monday,11/2/2015,8:30 PM ET ,Bank of America Stadium,"800 S Mint St, Charlotte, NC 28202","75,412"
120,Browns,Bengals,9,Thursday,11/5/2015,8:25 PM ET ,Paul Brown Stadium,"1 Paul Brown Stadium, Cincinnati, OH 45202","65,535"
121,Packers,Panthers,9,Sunday,11/8/2015,1:00 PM ET ,Bank of America Stadium,"800 S Mint St, Charlotte, NC 28202","75,412"
122,Redskins,Patriots,9,Sunday,11/8/2015,1:00 PM ET ,Gillette Stadium,"1 Patriot Pl, Foxborough, MA 02035","68,756"
123,Titans,Saints,9,Sunday,11/8/2015,1:00 PM ET ,Mercedes-Benz Superdome,"1500 Sugar Bowl Dr, New Orleans, LA 70112","76,468"
124,Dolphins,Bills,9,Sunday,11/8/2015,1:00 PM ET ,Ralph Wilson Stadium,"1 Bills Dr, Orchard Park, NY 14127","71,870"
125,Rams,Vikings,9,Sunday,11/8/2015,1:00 PM ET ,TCF Bank Stadium,"420 SE 23rd Avenue 
Minneapolis, Minnesota 55455","52,525"
126,Jaguars,Jets,9,Sunday,11/8/2015,1:00 PM ET ,MetLife Stadium,"1 MetLife Stadium Dr, East Rutherford, NJ 07073","82,566"
127,Raiders,Steelers,9,Sunday,11/8/2015,1:00 PM ET ,Heinz Field,"100 Art Rooney Ave, Pittsburgh, PA 15212","65,050"
128,Giants,Buccaneers,9,Sunday,11/8/2015,4:05 PM ET ,Raymond James Stadium,"4201 N Dale Mabry Hwy, Tampa, FL 33607","65,890"
129,Falcons,49ers,9,Sunday,11/8/2015,4:05 PM ET ,Levi's Stadium,"4900 Marie P DeBartolo Way, Santa Clara, CA 95054","68,500"
