Game,Away,Home,Week,Day,GameDate,Time,Stadium,Address,Capacity
130,Broncos,Colts,9,Sunday,11/8/2015,4:25 PM ET ,Lucas Oil Stadium,"500 S Capitol Ave, Indianapolis, IN 46225","70,000"
131,Eagles,Cowboys,9,Sunday,11/8/2015,8:30 PM ET ,AT&T Stadium,"1 AT&T Way, Arlington, TX 76011","80,000"
132,Bears,Chargers,9,Monday,11/9/2015,8:30 PM ET ,Qualcomm Stadium,"9449 Friars Rd, San Diego, CA 92108","70,561"
133,Bills,Jets,10,Thursday,11/12/2015,8:25 PM ET ,MetLife Stadium,"1 MetLife Stadium Dr, East Rutherford, NJ 07073","82,566"
134,Lions,Packers,10,Sunday,11/15/2015,1:00 PM ET ,Lambeau Field,"1265 Lombardi Ave, Green Bay, WI 54304","80,735"
135,Cowboys,Buccaneers,10,Sunday,11/15/2015,1:00 PM ET ,Raymond James Stadium,"4201 N Dale Mabry Hwy, Tampa, FL 33607","65,890"
136,Panthers,Titans,10,Sunday,11/15/2015,1:00 PM ET ,Nissan Stadium,"1 Titans Way, Nashville, TN 37213","69,143"
137,Bears,Rams,10,Sunday,11/15/2015,1:00 PM ET ,The Dome at America's Center,"701 Convention Plaza 
St. Louis, Missouri, United States 63101","66,000"
138,Saints,Redskins,10,Sunday,11/15/2015,1:00 PM ET ,FedExField,"1600 Fedex Way, Greater Landover, MD 20785","79,000"
139,Dolphins,Eagles,10,Sunday,11/15/2015,1:00 PM ET ,Lincoln Financial Field,"1 Lincoln Financial Field Way, Philadelphia, PA 19147","69,176"
140,Browns,Steelers,10,Sunday,11/15/2015,1:00 PM ET ,Heinz Field,"100 Art Rooney Ave, Pittsburgh, PA 15212","65,050"
141,Jaguars,Ravens,10,Sunday,11/15/2015,1:00 PM ET ,M&T Bank Stadium,"1101 Russell St, Baltimore, MD 21230","71,008"
142,Vikings,Raiders,10,Sunday,11/15/2015,4:05 PM ET ,O.co Coliseum,"7000 Coliseum Way, Oakland, CA 94621","63,132"
143,Patriots,Giants,10,Sunday,11/15/2015,4:25 PM ET ,MetLife Stadium,"1 MetLife Stadium Dr, East Rutherford, NJ 07073","82,566"
144,Chiefs,Broncos,10,Sunday,11/15/2015,4:25 PM ET ,Sports Authority Field at Mile High,"1701 Bryant St, Denver, CO 80204","76,125"
145,Cardinals,Seahawks,10,Sunday,11/15/2015,8:30 PM ET ,CenturyLink Field,"800 Occidental Ave S, Seattle, WA 98134","67,000"
146,Texans,Bengals,10,Monday,11/16/2015,8:30 PM ET ,Paul Brown Stadium,"1 Paul Brown Stadium, Cincinnati, OH 45202","65,535"
147,Titans,Jaguars,11,Thursday,11/19/2015,8:25 PM ET ,"EverBank Field
","1 Everbank Field Dr, Jacksonville, FL 32202
","67,164"
148,Raiders,Lions,11,Sunday,11/22/2015,1:00 PM ET ,Ford Field,"2000 Brush St, Detroit, MI 48226","65,000"
149,Colts,Falcons,11,Sunday,11/22/2015,1:00 PM ET ,Georgia Dome,"1 Georgia Dome Dr, Atlanta, GA 30313","71,228"
150,Jets,Texans,11,Sunday,11/22/2015,1:00 PM ET ,NRG Stadium,"Reliant Pkwy, Houston, TX 77054","71,500"
151,Buccaneers,Eagles,11,Sunday,11/22/2015,1:00 PM ET ,Lincoln Financial Field,"1 Lincoln Financial Field Way, Philadelphia, PA 19147","69,176"
152,Broncos,Bears,11,Sunday,11/22/2015,1:00 PM ET ,Soldier Field,"1410 Museum Campus Dr, Chicago, IL 60605","61,500"
153,Packers,Vikings,11,Sunday,11/22/2015,1:00 PM ET ,TCF Bank Stadium,"420 SE 23rd Avenue 
Minneapolis, Minnesota 55455","52,525"
154,Rams,Ravens,11,Sunday,11/22/2015,1:00 PM ET ,M&T Bank Stadium,"1101 Russell St, Baltimore, MD 21230","71,008"
155,Cowboys,Dolphins,11,Sunday,11/22/2015,1:00 PM ET ,Sun Life Stadium,"347 Don Shula Dr, Miami Gardens, FL 33056","76,100"
156,Redskins,Panthers,11,Sunday,11/22/2015,1:00 PM ET ,Bank of America Stadium,"800 S Mint St, Charlotte, NC 28202","75,412"
157,Bengals,Cardinals,11,Sunday,11/22/2015,4:05 PM ET ,University of Phoenix Stadium,"1 Cardinals Dr, Glendale, AZ 85305","63,400"
158,49ers,Seahawks,11,Sunday,11/22/2015,4:25 PM ET ,CenturyLink Field,"800 Occidental Ave S, Seattle, WA 98134","67,000"
159,Chiefs,Chargers,11,Sunday,11/22/2015,8:30 PM ET ,Qualcomm Stadium,"9449 Friars Rd, San Diego, CA 92108","70,561"
160,Bills,Patriots,11,Monday,11/23/2015,8:30 PM ET ,Gillette Stadium,"1 Patriot Pl, Foxborough, MA 02035","68,756"
161,Eagles,Lions,12,Thursday,11/26/2015,12:30 PM ET ,Ford Field,"2000 Brush St, Detroit, MI 48226","65,000"
162,Panthers,Cowboys,12,Thursday,11/26/2015,4:30 PM ET ,AT&T Stadium,"1 AT&T Way, Arlington, TX 76011","80,000"
163,Bears,Packers,12,Thursday,11/26/2015,8:30 PM ET ,Lambeau Field,"1265 Lombardi Ave, Green Bay, WI 54304","80,735"
164,Saints,Texans,12,Sunday,11/29/2015,1:00 PM ET ,NRG Stadium,"Reliant Pkwy, Houston, TX 77054","71,500"
165,Rams,Bengals,12,Sunday,11/29/2015,1:00 PM ET ,Paul Brown Stadium,"1 Paul Brown Stadium, Cincinnati, OH 45202","65,535"
166,Vikings,Falcons,12,Sunday,11/29/2015,1:00 PM ET ,Georgia Dome,"1 Georgia Dome Dr, Atlanta, GA 30313","71,228"
167,Giants,Redskins,12,Sunday,11/29/2015,1:00 PM ET ,FedExField,"1600 Fedex Way, Greater Landover, MD 20785","79,000"
168,Buccaneers,Colts,12,Sunday,11/29/2015,1:00 PM ET ,Lucas Oil Stadium,"500 S Capitol Ave, Indianapolis, IN 46225","70,000"
169,Bills,Chiefs,12,Sunday,11/29/2015,1:00 PM ET ,Arrowhead Stadium,"1 Arrowhead Dr, Kansas City, MO 64129","76,416"
170,Raiders,Titans,12,Sunday,11/29/2015,1:00 PM ET ,Nissan Stadium,"1 Titans Way, Nashville, TN 37213","69,143"
171,Chargers,Jaguars,12,Sunday,11/29/2015,1:00 PM ET ,"EverBank Field
","1 Everbank Field Dr, Jacksonville, FL 32202
","67,164"
172,Dolphins,Jets,12,Sunday,11/29/2015,1:00 PM ET ,MetLife Stadium,"1 MetLife Stadium Dr, East Rutherford, NJ 07073","82,566"
173,Cardinals,49ers,12,Sunday,11/29/2015,4:05 PM ET ,Levi's Stadium,"4900 Marie P DeBartolo Way, Santa Clara, CA 95054","68,500"
174,Steelers,Seahawks,12,Sunday,11/29/2015,4:25 PM ET ,CenturyLink Field,"800 Occidental Ave S, Seattle, WA 98134","67,000"
175,Patriots,Broncos,12,Sunday,11/29/2015,8:30 PM ET ,Sports Authority Field at Mile High,"1701 Bryant St, Denver, CO 80204","76,125"
176,Ravens,Browns,12,Monday,11/30/2015,8:30 PM ET ,FirstEnergy Stadium,"100 Alfred Lerner Way, Cleveland, OH 44114","73,200"
177,Packers,Lions,13,Thursday,12/3/2015,8:25 PM ET ,Ford Field,"2000 Brush St, Detroit, MI 48226","65,000"
178,Jets,Giants,13,Sunday,12/6/2015,1:00 PM ET ,MetLife Stadium,"1 MetLife Stadium Dr, East Rutherford, NJ 07073","82,566"
179,Cardinals,Rams,13,Sunday,12/6/2015,1:00 PM ET ,The Dome at America's Center,"701 Convention Plaza 
St. Louis, Missouri, United States 63101","66,000"
180,Falcons,Buccaneers,13,Sunday,12/6/2015,1:00 PM ET ,Raymond James Stadium,"4201 N Dale Mabry Hwy, Tampa, FL 33607","65,890"
181,Panthers,Saints,13,Sunday,12/6/2015,1:00 PM ET ,Mercedes-Benz Superdome,"1500 Sugar Bowl Dr, New Orleans, LA 70112","76,468"
182,Seahawks,Vikings,13,Sunday,12/6/2015,1:00 PM ET ,TCF Bank Stadium,"420 SE 23rd Avenue 
Minneapolis, Minnesota 55455","52,525"
183,Texans,Bills,13,Sunday,12/6/2015,1:00 PM ET ,Ralph Wilson Stadium,"1 Bills Dr, Orchard Park, NY 14127","71,870"
184,Ravens,Dolphins,13,Sunday,12/6/2015,1:00 PM ET ,Sun Life Stadium,"347 Don Shula Dr, Miami Gardens, FL 33056","76,100"
185,Bengals,Browns,13,Sunday,12/6/2015,1:00 PM ET ,FirstEnergy Stadium,"100 Alfred Lerner Way, Cleveland, OH 44114","73,200"
186,Jaguars,Titans,13,Sunday,12/6/2015,1:00 PM ET ,Nissan Stadium,"1 Titans Way, Nashville, TN 37213","69,143"
187,49ers,Bears,13,Sunday,12/6/2015,1:00 PM ET ,Soldier Field,"1410 Museum Campus Dr, Chicago, IL 60605","61,500"
188,Broncos,Chargers,13,Sunday,12/6/2015,4:05 PM ET ,Qualcomm Stadium,"9449 Friars Rd, San Diego, CA 92108","70,561"
189,Chiefs,Raiders,13,Sunday,12/6/2015,4:05 PM ET ,O.co Coliseum,"7000 Coliseum Way, Oakland, CA 94621","63,132"
190,Eagles,Patriots,13,Sunday,12/6/2015,4:25 PM ET ,Gillette Stadium,"1 Patriot Pl, Foxborough, MA 02035","68,756"
191,Colts,Steelers,13,Sunday,12/6/2015,8:30 PM ET ,Heinz Field,"100 Art Rooney Ave, Pittsburgh, PA 15212","65,050"
192,Cowboys,Redskins,13,Monday,12/7/2015,8:30 PM ET ,FedExField,"1600 Fedex Way, Greater Landover, MD 20785","79,000"
193,Vikings,Cardinals,14,Thursday,12/10/2015,8:25 PM ET ,University of Phoenix Stadium,"1 Cardinals Dr, Glendale, AZ 85305","63,400"
194,Bills,Eagles,14,Sunday,12/13/2015,1:00 PM ET ,Lincoln Financial Field,"1 Lincoln Financial Field Way, Philadelphia, PA 19147","69,176"
195,49ers,Browns,14,Sunday,12/13/2015,1:00 PM ET ,FirstEnergy Stadium,"100 Alfred Lerner Way, Cleveland, OH 44114","73,200"
196,Lions,Rams,14,Sunday,12/13/2015,1:00 PM ET ,The Dome at America's Center,"701 Convention Plaza 
St. Louis, Missouri, United States 63101","66,000"
197,Saints,Buccaneers,14,Sunday,12/13/2015,1:00 PM ET ,Raymond James Stadium,"4201 N Dale Mabry Hwy, Tampa, FL 33607","65,890"
198,Titans,Jets,14,Sunday,12/13/2015,1:00 PM ET ,MetLife Stadium,"1 MetLife Stadium Dr, East Rutherford, NJ 07073","82,566"
199,Steelers,Bengals,14,Sunday,12/13/2015,1:00 PM ET ,Paul Brown Stadium,"1 Paul Brown Stadium, Cincinnati, OH 45202","65,535"
200,Patriots,Texans,14,Sunday,12/13/2015,1:00 PM ET ,NRG Stadium,"Reliant Pkwy, Houston, TX 77054","71,500"
201,Colts,Jaguars,14,Sunday,12/13/2015,1:00 PM ET ,"EverBank Field
","1 Everbank Field Dr, Jacksonville, FL 32202
","67,164"
202,Chargers,Chiefs,14,Sunday,12/13/2015,1:00 PM ET ,Arrowhead Stadium,"1 Arrowhead Dr, Kansas City, MO 64129","76,416"
203,Redskins,Bears,14,Sunday,12/13/2015,1:00 PM ET ,Soldier Field,"1410 Museum Campus Dr, Chicago, IL 60605","61,500"
204,Falcons,Panthers,14,Sunday,12/13/2015,1:00 PM ET ,Bank of America Stadium,"800 S Mint St, Charlotte, NC 28202","75,412"
205,Raiders,Broncos,14,Sunday,12/13/2015,4:05 PM ET ,Sports Authority Field at Mile High,"1701 Bryant St, Denver, CO 80204","76,125"
206,Cowboys,Packers,14,Sunday,12/13/2015,4:25 PM ET ,Lambeau Field,"1265 Lombardi Ave, Green Bay, WI 54304","80,735"
207,Seahawks,Ravens,14,Sunday,12/13/2015,8:30 PM ET ,M&T Bank Stadium,"1101 Russell St, Baltimore, MD 21230","71,008"
208,Giants,Dolphins,14,Monday,12/14/2015,8:30 PM ET ,Sun Life Stadium,"347 Don Shula Dr, Miami Gardens, FL 33056","76,100"
209,Buccaneers,Rams,15,Thursday,12/17/2015,8:25 PM ET ,The Dome at America's Center,"701 Convention Plaza 
St. Louis, Missouri, United States 63101","66,000"
210,Jets,Cowboys,15,Saturday,12/19/2015,8:25 PM ET ,AT&T Stadium,"1 AT&T Way, Arlington, TX 76011","80,000"
211,Bears,Vikings,15,Sunday,12/20/2015,1:00 PM ET ,TCF Bank Stadium,"420 SE 23rd Avenue 
Minneapolis, Minnesota 55455","52,525"
212,Falcons,Jaguars,15,Sunday,12/20/2015,1:00 PM ET ,"EverBank Field
","1 Everbank Field Dr, Jacksonville, FL 32202
","67,164"
213,Texans,Colts,15,Sunday,12/20/2015,1:00 PM ET ,Lucas Oil Stadium,"500 S Capitol Ave, Indianapolis, IN 46225","70,000"
214,Cardinals,Eagles,15,Sunday,12/20/2015,1:00 PM ET ,Lincoln Financial Field,"1 Lincoln Financial Field Way, Philadelphia, PA 19147","69,176"
215,Panthers,Giants,15,Sunday,12/20/2015,1:00 PM ET ,MetLife Stadium,"1 MetLife Stadium Dr, East Rutherford, NJ 07073","82,566"
216,Titans,Patriots,15,Sunday,12/20/2015,1:00 PM ET ,Gillette Stadium,"1 Patriot Pl, Foxborough, MA 02035","68,756"
217,Bills,Redskins,15,Sunday,12/20/2015,1:00 PM ET ,FedExField,"1600 Fedex Way, Greater Landover, MD 20785","79,000"
218,Chiefs,Ravens,15,Sunday,12/20/2015,1:00 PM ET ,M&T Bank Stadium,"1101 Russell St, Baltimore, MD 21230","71,008"
219,Browns,Seahawks,15,Sunday,12/20/2015,4:05 PM ET ,CenturyLink Field,"800 Occidental Ave S, Seattle, WA 98134","67,000"
220,Packers,Raiders,15,Sunday,12/20/2015,4:05 PM ET ,O.co Coliseum,"7000 Coliseum Way, Oakland, CA 94621","63,132"
221,Broncos,Steelers,15,Sunday,12/20/2015,4:25 PM ET ,Heinz Field,"100 Art Rooney Ave, Pittsburgh, PA 15212","65,050"
222,Dolphins,Chargers,15,Sunday,12/20/2015,4:25 PM ET ,Qualcomm Stadium,"9449 Friars Rd, San Diego, CA 92108","70,561"
223,Bengals,49ers,15,Sunday,12/20/2015,8:30 PM ET ,Levi's Stadium,"4900 Marie P DeBartolo Way, Santa Clara, CA 95054","68,500"
224,Lions,Saints,15,Monday,12/21/2015,8:30 PM ET ,Mercedes-Benz Superdome,"1500 Sugar Bowl Dr, New Orleans, LA 70112","76,468"
225,Chargers,Raiders,16,Thursday,12/24/2015,8:25 PM ET ,O.co Coliseum,"7000 Coliseum Way, Oakland, CA 94621","63,132"
226,Redskins,Eagles,16,Saturday,12/26/2015,8:25 PM ET ,Lincoln Financial Field,"1 Lincoln Financial Field Way, Philadelphia, PA 19147","69,176"
227,Patriots,Jets,16,Sunday,12/27/2015,1:00 PM ET ,MetLife Stadium,"1 MetLife Stadium Dr, East Rutherford, NJ 07073","82,566"
228,Texans,Titans,16,Sunday,12/27/2015,1:00 PM ET ,Nissan Stadium,"1 Titans Way, Nashville, TN 37213","69,143"
229,Browns,Chiefs,16,Sunday,12/27/2015,1:00 PM ET ,Arrowhead Stadium,"1 Arrowhead Dr, Kansas City, MO 64129","76,416"
230,Colts,Dolphins,16,Sunday,12/27/2015,1:00 PM ET ,Sun Life Stadium,"347 Don Shula Dr, Miami Gardens, FL 33056","76,100"
231,Jaguars,Saints,16,Sunday,12/27/2015,1:00 PM ET ,Mercedes-Benz Superdome,"1500 Sugar Bowl Dr, New Orleans, LA 70112","76,468"
232,49ers,Lions,16,Sunday,12/27/2015,1:00 PM ET ,Ford Field,"2000 Brush St, Detroit, MI 48226","65,000"
233,Cowboys,Bills,16,Sunday,12/27/2015,1:00 PM ET ,Ralph Wilson Stadium,"1 Bills Dr, Orchard Park, NY 14127","71,870"
234,Bears,Buccaneers,16,Sunday,12/27/2015,1:00 PM ET ,Raymond James Stadium,"4201 N Dale Mabry Hwy, Tampa, FL 33607","65,890"
235,Panthers,Falcons,16,Sunday,12/27/2015,1:00 PM ET ,Georgia Dome,"1 Georgia Dome Dr, Atlanta, GA 30313","71,228"
236,Giants,Vikings,16,Sunday,12/27/2015,1:00 PM ET ,TCF Bank Stadium,"420 SE 23rd Avenue 
Minneapolis, Minnesota 55455","52,525"
237,Rams,Seahawks,16,Sunday,12/27/2015,4:25 PM ET ,CenturyLink Field,"800 Occidental Ave S, Seattle, WA 98134","67,000"
238,Packers,Cardinals,16,Sunday,12/27/2015,4:25 PM ET ,University of Phoenix Stadium,"1 Cardinals Dr, Glendale, AZ 85305","63,400"
239,Steelers,Ravens,16,Sunday,12/27/2015,8:30 PM ET ,M&T Bank Stadium,"1101 Russell St, Baltimore, MD 21230","71,008"
240,Bengals,Broncos,16,Monday,12/28/2015,8:30 PM ET ,Sports Authority Field at Mile High,"1701 Bryant St, Denver, CO 80204","76,125"
241,Jets,Bills,17,Sunday,1/3/2016,1:00 PM ET ,Ralph Wilson Stadium,"1 Bills Dr, Orchard Park, NY 14127","71,870"
242,Patriots,Dolphins,17,Sunday,1/3/2016,1:00 PM ET ,Sun Life Stadium,"347 Don Shula Dr, Miami Gardens, FL 33056","76,100"
243,Buccaneers,Panthers,17,Sunday,1/3/2016,1:00 PM ET ,Bank of America Stadium,"800 S Mint St, Charlotte, NC 28202","75,412"
244,Saints,Falcons,17,Sunday,1/3/2016,1:00 PM ET ,Georgia Dome,"1 Georgia Dome Dr, Atlanta, GA 30313","71,228"
245,Ravens,Bengals,17,Sunday,1/3/2016,1:00 PM ET ,Paul Brown Stadium,"1 Paul Brown Stadium, Cincinnati, OH 45202","65,535"
246,Steelers,Browns,17,Sunday,1/3/2016,1:00 PM ET ,FirstEnergy Stadium,"100 Alfred Lerner Way, Cleveland, OH 44114","73,200"
247,Jaguars,Texans,17,Sunday,1/3/2016,1:00 PM ET ,NRG Stadium,"Reliant Pkwy, Houston, TX 77054","71,500"
248,Titans,Colts,17,Sunday,1/3/2016,1:00 PM ET ,Lucas Oil Stadium,"500 S Capitol Ave, Indianapolis, IN 46225","70,000"
249,Raiders,Chiefs,17,Sunday,1/3/2016,1:00 PM ET ,Arrowhead Stadium,"1 Arrowhead Dr, Kansas City, MO 64129","76,416"
250,Redskins,Cowboys,17,Sunday,1/3/2016,1:00 PM ET ,AT&T Stadium,"1 AT&T Way, Arlington, TX 76011","80,000"
251,Eagles,Giants,17,Sunday,1/3/2016,1:00 PM ET ,MetLife Stadium,"1 MetLife Stadium Dr, East Rutherford, NJ 07073","82,566"
252,Lions,Bears,17,Sunday,1/3/2016,1:00 PM ET ,Soldier Field,"1410 Museum Campus Dr, Chicago, IL 60605","61,500"
253,Vikings,Packers,17,Sunday,1/3/2016,1:00 PM ET ,Lambeau Field,"1265 Lombardi Ave, Green Bay, WI 54304","80,735"
254,Chargers,Broncos,17,Sunday,1/3/2016,4:25 PM ET ,Sports Authority Field at Mile High,"1701 Bryant St, Denver, CO 80204","76,125"
255,Seahawks,Cardinals,17,Sunday,1/3/2016,4:25 PM ET ,University of Phoenix Stadium,"1 Cardinals Dr, Glendale, AZ 85305","63,400"
256,Rams,49ers,17,Sunday,1/3/2016,4:25 PM ET ,Levi's Stadium,"4900 Marie P DeBartolo Way, Santa Clara, CA 95054","68,500"
